uid;code;type;speaker;text;next
A77;camera flash;;;;
A78;;say;Treya;¿Chiquilla?;
A79;;say;Fled;Somos una mano en una partida muy larga.;
A80;;say;Fled;¿Ves esto, tu también las tienes, verdad?;
A81;UI off;;;;
A82;Boceto_1 bg;;;;
A83;Game wait 2;;;;
A84;;say;Fled;¿Una recompensa por lo útiles que somos?;
A85;;say;Fled;No.;
A86;;say;Fled;Más bien una prueba de lo fugaces que somos.;
A87;;say;Fled;Somos prescindibles.;
A88;;say;Fled;Desechables.;
A89;;say;Fled;Que tú no las lleves no te hace superior, Treya la paranoica.;
A90;UI off;;;;
A91;Bg vanish;;;;
A92;Game wait 2;;;;
A93;;say;Fled;Somos soldados de octavo grado.;
A94;;say;Treya;Esta misión no la puede hacer cualquiera.;
A95;;say;Fled;Y aun así, aquí estamos, soldados cualquiera.;
A96;;say;Treya;Fuimos elegidos por Quion para infiltrarnos.;
A97;;say;Treya;Que tú te subestimes no es mi maldito problema.;
A98;;say;Fled;No dejes que ese viejo zorro de Quion te coma la cabeza con humo y ceniza.;
A99;;say;Fled;Él solo busca cosechar la gloria que tú siembres con tu sangre.;
A100;;say;Treya;¿Esa es tu excusa para ser un cobarde e inútil?;
A101;;say;Fled;Ese es tu problema, ¿sabes?;
A102;;say;Fled;Piensas que todo lo que dicen tus superiores es la verdad absoluta.;
A103;;say;Fled;Y el poder tiene la mala costumbre de volver necia a la gente.;
A104;;say;Fled;Y los necios con poder son los que más vidas ajenas desperdician.;
A105;;say;Fled;¿Quieres obedecer a necios?;
A106;;say;Treya;El único necio aquí eres tú, Fled, no puedes hablar así de tus superiores.;
A107;Sfx play FledLaugh03;;;;
A108;;say;Fled;JA JA JA.;
A109;;say;Fled;¿Los ves por alguna parte?;
A110;;say;Fled;Ellos no pueden hacerme nada aquí.;
A111;;say;Fled;A no ser que…;
A112;camera flash;;;;
A113;;say;Fled;...Tú me delates.;
A114;;say;Treya;…;
A115;;choice/Soft;;"""Quizá lo haga""|""No le haría eso a un aliado""|No responder.";A117|A124|A130
A116;;;;;
A117;;say;Treya;Pues puede que lo haga, Fled.;
A118;;say;Treya;Cuidado con lo que dices.;
A119;Fled affinity -5;;;;
A120;;say;Fled;A la hora de la verdad, dudo que lo hicieras.;
A121;;say;Treya;¿Puedes parar de hablar?;
A122;;say;Treya;No dices nada con sentido.;A132
A123;;;;;
A124;;say;Treya;No traicionaría la confianza de un aliado.;
A125;Fled affinity +5;;;;
A126;;say;Fled;"Con que ""aliado"", eh.";
A127;;say;Fled;¿Cómo puedo ascender al título de amigo?;
A128;;say;Treya;Empezando por cerrar la boca durante unos instantes.;A132
A129;;;;;
A130;;say;Treya;…;A121
A131;;;;;
A132;;say;Fled;¿Serás tú la que nos brinde reflexiones y humor?;
A133;;say;Fled;El mundo sería demasiado sombrío.;
A134;;say;Fled;Tienes el ceño tan fruncido que creo que te explotará la cara.;
A135;;say;Fled;Treya Ceñofruncido.;
A136;;say;Treya;Ojalá te lleve el [s]Mal morado[/s].;
A137;;say;Fled;¡Ahí está! Esa mirada gélida que podría congelar un desierto en verano.;
A138;;say;Fled;¿Por qué eres así, chiquilla?;
A139;;say;Fled;Me intriga.;
A140;;think;Treya;Lo ha vuelto a hacer.;
A141;;think;Treya;¿Chiquilla…?;
A142;;choice/Soft;;Reprenderle | Dejarlo pasar.;A144|A155
A143;;;;;
A144;;say;Treya;Repite eso.;
A145;;say;Fled;¿Eh…?;
A146;;say;Treya;Llámame chiquilla de nuevo y afilaré las dagas con tu lengua.;
A147;;say;Treya;Te has divertido durante un rato, Fled.;
A148;;say;Treya;Pero no soy tu ardilla para que juegues con ella.;
A149;Fled affinity +10;;;;
A150;;say;Fled;¡De acuerdo, de acuerdo! Treya está bien.;
A151;;say;Fled;…;
A152;;say;Fled;Treya Robalenguas.;
A153;;say;Fled;Ese sí me gusta.;A157
A154;;;;;
A155;Fled affinity -10;;;;
A156;;say;Treya;…;
A157;;say;Treya;Si prefieres gastar saliva a descansar, Fled, adelante.;
A158;;say;Treya;Echaré un último vistazo.;
A159;;say;Fled;No apuñales a un conejillo pensando que es un enemigo.;
A160;;say;Fled;Sería demasiado triste.;END
