uid;code;type;speaker;text;next
A61;Game setflag fled_mad ;;;;
A62;;say;Fled;Estoy... cansado, creo que dormitaré hasta que partamos;END
A63;;;;;
A64;;;;;
F65;;say;Treya;Hablas como si Ghalendir no fuera tu casa.;
F66;;say;Fled;Lo es y no lo es, Treya Robalenguas.;
F67;Fled_affinity > 55 : F75;;;;
F68;;say;Fled;Es difícil de explicar...;
F69;;say;Fled;Te la contaré en otro momento.;
F70;;think;Treya;Que raro...;
F71;;think;Treya;Normalmente Fled no rechazaría hablar de si mismo.;
F72;;think;Treya;Quizá me haya pasado antes...;
F73;;think;Treya;Se lo volveré a preguntar en otro momento.;MAS4
F74;;;;;
F75;;say;Fled;Mi casa siempre será Venita Estolfeo.;
F76;;say;Treya;Venita Estolfeo... Ahí le... habláis a las aves ¿no?;
F77;;say;Fled;¿¡Hablar a las aves!?;
F78;;say;Fled;El dios de los Venitas es el rey Alado. Vosotros lo llamáis Ul.;
F79;;say;Fled;Pero de ahí a hablar con aves... No somos dementes.;
F80;;say;Treya;Lo... Lo siento, no lo sabía.;
F81;;say;Fled;No me ofende.;
F82;;say;Fled;Las babosas de mar me han impactado más que la iglesia Venita.;
F83;;say;Fled;Que cualquier religión en realidad.;
F84;;say;Fled;Y eso que he conocido muchas religiones.;
F85;;say;Fled;Incluso la Antiscoritia de los Almanos no reconocen la leyenda de la creación Talverista.;
F86;;say;Treya;¿Los Almanos? ¿No son los salvajes de vuestras tierras?;
F87;;say;Fled;Serán salvajes, pero oh... Como cocinan.;
F88;;say;Fled;Tienen una gastronomía más elaborada que la vuestra;
F89;;choice/soft;;Incluirle en eso|Ofenderse;F91|F107
F90;;;;;
F91;;say;Treya;"Que la nuestra querrás decir.""";
F92;;say;Treya;Antes me has señalados los Grados de tu uniforme.;
F93;;say;Treya;Ahora eres parte de los Jaleanos, Fled;
F94;;say;Fled;Si... tienes razón. Seré parte durante un tiempo.;
F95;;say;Treya;¿Un... tiempo?;
F96;;say;Fled;Si, ehm... Dejémoslo ahí por ahora.;
F97;;think;Treya;¿Qué ha sido eso....?;
F98;;choice/soft;;Preguntar|Dejarlo pasar;F100|F103
F99;;;;;
F100;;think;Treya;No creo que sea buena idea insistir.;
F101;;think;Treya;Se lo volveré a preguntar más adelante.;F105
F102;;;;;
F103;;think;Treya;¿Qué ocultará?;F105
F104;;;;;
F105;;say;Fled;...;MAS2
F106;;;;;
F107;;say;Fled;Dudo que unos salvajes come piedras sepan hacer algo más que carne a la brasa.;
F108;;say;Treya;Te sorprendería de que son capaces esos come piedras.;
F109;;say;Treya;Y como un viajero como tu, ha llegado hasta Ghalendir.;
F110;;say;Fled;Eso, es otra historia bastante larga.;
F111;;say;Fled;Espero estar el tiempo suficiente para contartela.;
F112;;say;Treya;¿Cómo?;
F113;;say;Treya;¿A que te refieres con tiempo suficiente?;F96
A114;;;;;
A115;;say;Fled;He estado vigilando el camino hacia el pueblo.;
A116;;say;Treya;¿Cuánta gente hay en Guardoblanco?;
A117;;say;Fled;Más que pueblo es una aldea.;
A118;;say;Fled;En el paso,de todas formas, no hay casi gente.;
A119;;say;Fled;Pero al ser una frontera, hay algunos [w]Marchitos[/w];
A120;;say;Treya;…;
A121;;say;Treya;¿Marchitos?;
A122;;say;Fled;Los guardias de la Federación.;
A123;;say;Fled;"""Los Marcios"". Lo llamáis aquí ¿verdad?";
A124;;say;Fled;Suena imponente, cualquier apodo queda gracioso para un nombre que tanto impone.;
A125;;say;Fled;Marchitos les queda que ni pintado.;
A126;;say;Treya;¿Cuántos Marchitos habrá en el paso?;
A127;;say;Fled;No muchos.;
A128;;say;Fled;Unos pocos, quizá dos o tres pelotones.;
A129;;say;Fled;…;
A130;;say;Fled;¿Has visto una pipa por ahí?;
A131;;say;Fled;Por las lagrimas de Tal.;
A132;;say;Treya;¿¡Pócos!?;
A133;;say;Treya;Estamos hablando de veinte soldados como mínimo.;
A134;;say;Fled;¿Qué esperabas, Treya Robalenguas?;
A135;;say;Fled;¿Iban a defender una frontera con tres hombres y un perro?;
A136;;say;Fled;…;
A137;;say;Fled;Has visto mi pipa o no.;
A138;;say;Treya;No, Fled, no he visto tu condenada pipa.;
A139;;say;Fled;Una pena, era una buena pipa.;MAS3
A140;;;;;
A141;;say;Fled;¿Encandilada por mi belleza?;
A142;;say;Fled;Una victima más de mis encant...;
A143;;say;Treya;¿Fled?;
A144;;say;Fled;¿Si?;
A145;;say;Treya;Cállate;
A146;;say;Fled;Está bien.;END
