uid;code;type;speaker;text;next
A68;;choice/soft;;El camino es más seguro| El pescado no se estropea;A70|A73
A69;;;;;
EM12;Treya is Serious;;;;
A70;;say;Treya;Hay menos bandidos por los caminos.;
A71;;say;Fled;Parece que es verdad, te lo has estudiado.;A78
A72;;;;;
EM13;Treya is Serious;;;;
A73;;say;Treya;El Pescado se conserva mejor con el frio.;
A74;;say;Fled;...;
A75;;say;Fled;¿Me estas tomando el pelo Treya La Paranoica?;
A76;;say;Fled;En fin...;A78
A77;;;;;
A78;;say;Fled;Última pregunta.;
A79;;say;Fled;Que debemos responder si alguien nos dice…;
A80;;say;Fled;¿Por quién lucháis?;A82
A81;;;;;
A82;;choice/soft;;De quien me brinde pan.|De quien me ofrezca pan.;A84|90
A83;;;;;
EM14;Treya is Serious;;;;
A84;;say;Treya;De quien me brinde comida y refugio.;
A85;;say;Fled;¿Brindar?;
A86;;say;Fled;¿Crees que una paleta de pueblo diría algo así?;
A87;;say;Fled;¿De quien me ofrezca comida y refugio?;
A88;;say;Fled;Casi perfecto, te sabes el discurso de memoria.;A93
A89;;;;;
EM15;Treya is Serious;;;;
A90;;say;Treya;De quien me ofrezca comida y refugio.;
A91;;say;Fled;No te lo sabes muy bien....;
A92;;say;Fled;Creo que solo te falta una cosa.;
A93;;say;Fled;Lo único que te falta es no decirlo como si tuvieras una guarnición metida por el…;
A94;camera flash;;;;
EM16;Treya is Mad;;;;
A95;;say;Treya;Menuda sarta de sandeces.;
A96;;say;Treya;Mentir de esa manera tan obvia nos delatará.;
A97;;say;Fled;El arte del subterfugio es tan importante como el de la espada o la lanza.;
A98;;say;Fled;Míralo como una forma de combatir.;
A99;;say;Fled;Las palabras son estocadas.;
A100;;say;Fled;La credibilidad de la gente es su postura.;
A101;;say;Fled;Si sabes hacer fintas correctas, puedes desestabilizarlos.;
A102;;say;Fled;Y asestarles el golpe de gracia.;
A103;camera zoom Treya;;;;
A104;UI wait 1;;;;
EM17;Treya is Serious;;;;
A105;;say;Treya;No lo veo para nada lo mismo.;
A106;camera reset;;;;
A107;;say;Fled;Porque no piensas con libertad.;
A108;;say;Fled;Dime, ¿qué hay en tu mente?;
A109;;say;Fled;¿Guerra, muerte, hambre…?;
A110;camera flash;;;;
A111;;say/exclamation;Fled;¿…venganza?;
EM18;Treya is Serious;;;;
A112;;say;Treya;No entraré en tus juegos, Fled.;
A113;;say;Treya;Canaliza esa energía que tienes para dentro de unos [s]latidos[/s].;
A114;;say;Treya;¿Crees que serás capaz de dormir y cerrar la boca durante tanto tiempo?;
A115;;say;Fled;Dormir, será sencillo…;
A116;Sfx play FledLaugh02;;;;
A117;;say;Fled;Pero callarme llevo milenios intentándolo y tampoco me ha ido bien;
EM19;Treya is Mad;;;;
A118;;say;Treya;Céntrate Fled. Por una sola vez.;
A119;;say;Treya;Céntrate.;
A120;;say;Treya;No podemos cometer ni un error.;
A121;;say/question;Fled;Te crees que somos imprescindibles, ¿verdad?;
A122;;say;Fled;No te apures, la juventud es sinónimo de credulidad.;
A123;;say/question;Fled;Cuánta importancia le das, chiquilla.;
A124;;say;Treya;…;
A125;camera flash;;;;
EM20;Treya is Mad;;;;
A126;;say;Treya;¿Chiquilla?;
A127;;say;Fled;Somos una mano en una partida muy larga.;
A128;;say;Fled;¿Ves esto, tu también las tienes, verdad?;
A129;UI off;;;;
A130;Boceto_1 bg;;;;
A131;Game wait 2;;;;
A132;;say;Fled;¿Una recompensa por lo útiles que somos?;
A133;;say;Fled;No.;
A134;;say;Fled;Más bien una prueba de lo fugaces que somos.;
A135;;say;Fled;Somos prescindibles.;
A136;;say;Fled;Desechables.;
A137;;say;Fled;Que tú no las lleves no te hace superior, Treya la paranoica.;
A138;UI off;;;;
A139;Bg vanish;;;;
A140;Game wait 2;;;;
A141;;say;Fled;Somos soldados de octavo grado.;
A142;;choice/soft;;Valemos más|Valgo más;A144|A148
A143;;;;;
EM21;Treya is Serious;;;;
A144;;say;Treya;Esta misión no la puede hacer cualquiera.;
A145;;say;Treya;Fuimos elegidos por Quion para infiltrarnos.;
A146;;say;Fled;Y aun así, aquí estamos, soldados cualquiera.;A151
A147;;;;;
EM22;Treya is Mad;;;;
A148;;say;Treya;Que tú te subestimes no es mi maldito problema.;
A149;;say;Treya;Reclamaré mi gloria ante Quion, mientras digo que tu te estabas escondiendo.;A151
A150;;;;;
A151;;say;Fled;No dejes que ese viejo zorro de Quion te coma la cabeza con humo y ceniza.;
A152;;say;Fled;Él solo busca cosechar la gloria que tú siembres con tu sangre.;
EM23;Treya is Mad;;;;
A153;;say;Treya;¿Esa es tu excusa para ser un cobarde e inútil?;
A154;;say;Fled;Ese es tu problema, ¿sabes?;
A155;;say;Fled;Piensas que todo lo que dicen tus superiores es la verdad absoluta.;
A156;;say;Fled;Y el poder tiene la mala costumbre de volver necia a la gente.;
A157;;say;Fled;Y los necios con poder son los que más vidas ajenas desperdician.;
A158;;say;Fled;¿Quieres obedecer a necios?;
EM24;Treya is Mad;;;;
A159;;say;Treya;El único necio aquí eres tú, Fled, no puedes hablar así de tus superiores.;
A160;Sfx play FledLaugh03;;;;
A161;;say;Fled;JA JA JA.;
A162;;say;Fled;¿Los ves por alguna parte?;
A163;;say;Fled;Ellos no pueden hacerme nada aquí.;
A164;;say;Fled;A no ser que…;
A165;camera flash;;;;
A166;;say;Fled;...Tú me delates.;
EM25;Treya is Serious;;;;
A167;;say;Treya;…;
A168;;choice/moderada;;Lo haría|No lo haría|No responder.;A170|A177|A183
A169;;;;;
EM26;Treya is Mad;;;;
A170;;say;Treya;Pues puede que lo haga, Fled.;
A171;;say;Treya;Cuidado con lo que dices.;
A172;Fled affinity -5;;;;
A173;;say;Fled;A la hora de la verdad, dudo que lo hicieras.;
EM27;Treya is Serious;;;;
A174;;say;Treya;¿Puedes parar de hablar?;
A175;;say;Treya;No dices nada con sentido.;A185
A176;;;;;
EM28;Treya is Serious;;;;
A177;;say;Treya;No traicionaría la confianza de un aliado.;
A178;Fled affinity +5;;;;
A179;;say;Fled;"Con que ""aliado"", eh.";
A180;;say;Fled;¿Cómo puedo ascender al título de amigo?;
EM29;Treya is Serious;;;;
A181;;say;Treya;Empezando por cerrar la boca durante unos instantes.;A185
A182;;;;;
A183;;say;Treya;…;A174
A184;;;;;
A185;;say;Fled;¿Serás tú la que nos brinde reflexiones y humor?;
A186;;say;Fled;El mundo sería demasiado sombrío.;
A187;;say;Fled;Tienes el ceño tan fruncido que creo que te explotará la cara.;
A188;;say;Fled;Treya Ceñofruncido.;
EM30;Treya is Mad;;;;
A189;;say;Treya;Ojalá te lleve el [s]Mal morado[/s].;
A190;;say;Fled;¡Ahí está! Esa mirada gélida que podría congelar un desierto en verano.;
A191;;say;Fled;¿Por qué eres así, chiquilla?;
A192;;say;Fled;Me intriga.;
EM31;Treya is Serious;;;;
A193;;think;Treya;Lo ha vuelto a hacer.;
A194;;think;Treya;¿Chiquilla…?;
A195;;choice/moderada;;Reprenderle | Dejarlo pasar.;A197|209
A196;;;;;
EM32;Treya is Mad;;;;
A197;;say;Treya;Repite eso.;
A198;;say;Fled;¿Eh…?;
A199;;say;Treya;Llámame chiquilla de nuevo y afilaré las dagas con tu lengua.;
A200;;say;Treya;Te has divertido durante un rato, Fled.;
A201;;say;Treya;Pero no soy tu ardilla para que juegues con ella.;
A202;Fled affinity +10;;;;A132
A203;;say;Fled;¡De acuerdo, de acuerdo! Treya está bien.;
A204;;say;Fled;…;
A205;;say;Fled;Treya Robalenguas.;
A206;;say;Fled;Ese sí me gusta.;A213
A207;;;;;
A208;;;;;
EM33;Treya is Serious;;;;
A209;;say;Treya;…;
A210;;say;Fled;Sin palabras, eh…;
A211;Fled affinity -5;;;;A213
A212;;;;;
EM34;Treya is Serious;;;;
A213;;say;Treya;Si prefieres gastar saliva a descansar, Fled, adelante.;
A214;;say;Treya;Echaré un último vistazo.;
A215;;say;Fled;No apuñales a un conejillo pensando que es un enemigo.;
A216;;say;Fled;Sería demasiado triste.;END
